site,date,start_hour,value,variable,units,quality,prelim,name 
3135,2015-01-04,8,0.0101,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,9,0.0070,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,10,0.0055,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,11,0.0043,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,12,0.0047,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,13,0.0052,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,14,0.0042,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,15,0.0045,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,16,0.0074,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,17,0.0124,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,18,0.0178,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,19,0.0222,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,20,0.0202,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,21,0.0274,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,22,0.0277,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,23,0.0128,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,0,0.0108,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,1,0.0125,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,2,0.0133,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,3,0.0135,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,4,0.0177,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,5,0.0190,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,6,0.0225,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,7,0.0260,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,8,0.0222,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,9,0.0091,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,10,0.0078,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,11,0.0055,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,12,0.0054,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,13,0.0045,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,14,0.0047,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,15,0.0052,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,16,0.0107,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,17,0.0306,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,18,0.0329,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,19,0.0307,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,20,0.0292,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,21,0.0265,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,22,0.0259,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-05,23,0.0231,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,0,0.0220,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,1,0.0209,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,2,0.0187,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,3,0.0189,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,4,0.0194,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,5,0.0182,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,6,0.0170,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,7,0.0202,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,8,0.0252,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,9,0.0227,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,10,0.0099,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,11,0.0065,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,12,0.0061,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
