site,monitor,date,start_hour,value,variable,units,quality,prelim,name 
5408,t,2019-01-04,2,3.25,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,3,3.88,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,4,-1.02,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,5,3.17,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,6,3.63,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,7,7.36,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,8,10.02,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,9,6.43,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,10,4.94,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,11,2.76,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,12,13.11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,13,2.93,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,14,0.28,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,15,3.11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,16,3.61,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,17,-0.95,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,18,0.57,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,19,-0.34,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,20,6.46,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,21,5.54,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,22,4.29,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-04,23,5.41,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-05,0,10.99,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
